candidate_id,rank,score,reasoning
CAND_0018499,1,0.982245,"13/17 AI-core skills; AI-relevant title (Senior Machine Learning Engineer); 7.2 yrs YOE; response rate 61%, interview 80%, open to work; tier-1 institution; India (Noida, Uttar Pradesh)"
CAND_0081846,2,0.980537,"14/18 AI-core skills; AI-relevant title (Lead AI Engineer); 6.7 yrs YOE; response rate 73%, interview 94%, open to work; tier-1 institution; India (Jaipur, Rajasthan)"
CAND_0079387,3,0.974257,"12/20 AI-core skills; AI-relevant title (AI Engineer); 6.9 yrs YOE; response rate 81%, interview 90%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0077337,4,0.966902,"11/20 AI-core skills; AI-relevant title (Staff Machine Learning Engineer); 7.0 yrs YOE; response rate 95%, interview 73%, open to work; tier-1 institution; India (Kochi, Kerala)"
CAND_0004402,5,0.966433,"12/16 AI-core skills; AI-relevant title (AI Research Engineer); 6.0 yrs YOE; response rate 83%, interview 60%, open to work; tier-1 institution; India (Delhi, Delhi)"
CAND_0028793,6,0.965365,"10/15 AI-core skills; AI-relevant title (Search Engineer); 7.2 yrs YOE; response rate 57%, interview 70%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0086154,7,0.963262,"8/13 AI-core skills; AI-relevant title (Data Scientist); 6.8 yrs YOE; response rate 90%, interview 90%, open to work; tier-2 institution; India (Ahmedabad, Gujarat)"
CAND_0052682,8,0.961478,"9/15 AI-core skills; AI-relevant title (NLP Engineer); 6.6 yrs YOE; response rate 88%, interview 88%, open to work; tier-1 institution; India (Vizag, Andhra Pradesh)"
CAND_0071974,9,0.956787,"14/19 AI-core skills; AI-relevant title (Senior AI Engineer); 7.8 yrs YOE; response rate 76%, interview 85%, open to work; tier-1 institution; India (Vizag, Andhra Pradesh)"
CAND_0046525,10,0.956013,"11/17 AI-core skills; AI-relevant title (Senior Machine Learning Engineer); 6.1 yrs YOE; response rate 88%, interview 81%, open to work; tier-1 institution; India (Pune, Maharashtra)"
CAND_0094482,11,0.955848,"7/11 AI-core skills; AI-relevant title (Junior ML Engineer); 6.4 yrs YOE; response rate 85%, interview 81%, open to work; tier-1 institution; Singapore"
CAND_0010257,12,0.953824,"10/15 AI-core skills; AI-relevant title (Senior Data Scientist); 6.5 yrs YOE; response rate 72%, interview 92%, open to work; tier-2 institution; India (Noida, Uttar Pradesh)"
CAND_0062247,13,0.950466,"13/17 AI-core skills; AI-relevant title (AI Engineer); 7.3 yrs YOE; response rate 78%, interview 84%, open to work; tier-1 institution; India (Kochi, Kerala)"
CAND_0033179,14,0.950164,"9/16 AI-core skills; AI-relevant title (AI Research Engineer); 6.9 yrs YOE; response rate 84%, interview 66%, open to work; India (Ahmedabad, Gujarat)"
CAND_0002025,15,0.947808,"14/20 AI-core skills; AI-relevant title (Senior AI Engineer); 5.9 yrs YOE; response rate 80%, interview 81%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0083307,16,0.946975,"14/18 AI-core skills; AI-relevant title (Search Engineer); 7.8 yrs YOE; response rate 70%, interview 83%, open to work; tier-2 institution; India (Vizag, Andhra Pradesh)"
CAND_0007412,17,0.946256,"9/12 AI-core skills; AI-relevant title (Applied ML Engineer); 7.4 yrs YOE; response rate 76%, interview 88%, open to work; tier-1 institution; India (Noida, Uttar Pradesh)"
CAND_0074735,18,0.946151,"15/20 AI-core skills; AI-relevant title (Applied ML Engineer); 5.5 yrs YOE; response rate 77%, interview 78%, open to work; tier-1 institution; India (Chandigarh, Chandigarh)"
CAND_0010149,19,0.943812,"10/15 AI-core skills; AI-relevant title (ML Engineer); 6.9 yrs YOE; response rate 82%, interview 60%, open to work; tier-1 institution; India (Bangalore, Karnataka)"
CAND_0058688,20,0.943491,"12/17 AI-core skills; AI-relevant title (AI Engineer); 6.7 yrs YOE; response rate 74%, interview 96%, open to work; tier-1 institution; Germany"
CAND_0008425,21,0.942437,"12/17 AI-core skills; AI-relevant title (Senior NLP Engineer); 7.8 yrs YOE; response rate 66%, interview 77%, open to work; tier-1 institution; India (Kolkata, West Bengal)"
CAND_0075249,22,0.942347,"9/14 AI-core skills; AI-relevant title (Applied ML Engineer); 6.2 yrs YOE; response rate 82%, interview 63%, open to work; tier-1 institution; India (Ahmedabad, Gujarat)"
CAND_0037160,23,0.941278,"12/16 AI-core skills; AI-relevant title (Data Scientist); 6.0 yrs YOE; response rate 74%, interview 100%, open to work; tier-1 institution; India (Mumbai, Maharashtra)"
CAND_0050454,24,0.940149,"13/15 AI-core skills; AI-relevant title (AI Engineer); 6.8 yrs YOE; response rate 77%, interview 72%, open to work; tier-1 institution; India (Delhi, Delhi)"
CAND_0046064,25,0.939334,"9/16 AI-core skills; AI-relevant title (Senior NLP Engineer); 8.9 yrs YOE; response rate 78%, interview 80%, open to work; tier-1 institution; India (Coimbatore, Tamil Nadu)"
CAND_0064326,26,0.938597,"11/14 AI-core skills; AI-relevant title (Search Engineer); 7.6 yrs YOE; response rate 94%, interview 90%, open to work; tier-2 institution; India (Gurgaon, Haryana)"
CAND_0030946,27,0.937935,"12/17 AI-core skills; AI-relevant title (Junior ML Engineer); 6.7 yrs YOE; response rate 38%, interview 95%, open to work; tier-1 institution; India (Mumbai, Maharashtra)"
CAND_0055905,28,0.937004,"9/13 AI-core skills; AI-relevant title (Senior Machine Learning Engineer); 8.1 yrs YOE; response rate 87%, interview 67%, open to work; tier-1 institution; UK"
CAND_0079064,29,0.936848,"10/14 AI-core skills; AI-relevant title (Senior Data Scientist); 5.2 yrs YOE; response rate 91%, interview 93%, open to work; India (Noida, Uttar Pradesh)"
CAND_0039383,30,0.936360,"12/16 AI-core skills; AI-relevant title (Applied ML Engineer); 7.1 yrs YOE; response rate 61%, interview 97%, open to work; tier-1 institution; India (Gurgaon, Haryana)"
CAND_0083852,31,0.936315,"13/19 AI-core skills; AI-relevant title (Data Scientist); 6.0 yrs YOE; response rate 85%, interview 74%, open to work; tier-2 institution; India (Ahmedabad, Gujarat)"
CAND_0076482,32,0.936041,"10/16 AI-core skills; AI-relevant title (ML Engineer); 6.6 yrs YOE; response rate 86%, interview 94%, open to work; tier-1 institution; USA"
CAND_0098846,33,0.936015,"12/18 AI-core skills; AI-relevant title (AI Engineer); 7.6 yrs YOE; response rate 62%, interview 80%, open to work; tier-1 institution; India (Indore, Madhya Pradesh)"
CAND_0098288,34,0.935692,"12/18 AI-core skills; AI-relevant title (Junior ML Engineer); 6.7 yrs YOE; response rate 48%, interview 79%, open to work; tier-1 institution; India (Mumbai, Maharashtra)"
CAND_0033350,35,0.935657,"7/11 AI-core skills; AI-relevant title (Data Scientist); 6.2 yrs YOE; response rate 85%, interview 86%, open to work; tier-2 institution; India (Coimbatore, Tamil Nadu)"
CAND_0074326,36,0.934858,"8/11 AI-core skills; AI-relevant title (Junior ML Engineer); 6.4 yrs YOE; response rate 81%, interview 69%, open to work; tier-2 institution; India (Chennai, Tamil Nadu)"
CAND_0077296,37,0.934823,"6/12 AI-core skills; 5.8 yrs YOE; response rate 50%, interview 98%, open to work; tier-1 institution; India (Vizag, Andhra Pradesh)"
CAND_0070398,38,0.933168,"13/16 AI-core skills; AI-relevant title (Machine Learning Engineer); 7.2 yrs YOE; response rate 60%, interview 64%, open to work; tier-1 institution; India (Kochi, Kerala)"
CAND_0005649,39,0.933163,"13/17 AI-core skills; AI-relevant title (Senior Data Scientist); 7.4 yrs YOE; response rate 57%, interview 88%, open to work; tier-2 institution; India (Delhi, Delhi)"
CAND_0043228,40,0.932691,"10/18 AI-core skills; AI-relevant title (Applied ML Engineer); 6.8 yrs YOE; response rate 41%, interview 94%; tier-1 institution; India (Chennai, Tamil Nadu)"
CAND_0043637,41,0.932525,"8/14 AI-core skills; AI-relevant title (Junior ML Engineer); 5.5 yrs YOE; response rate 92%, interview 97%, open to work; tier-2 institution; India (Delhi, Delhi)"
CAND_0048558,42,0.932500,"7/9 AI-core skills; AI-relevant title (Data Scientist); 6.7 yrs YOE; response rate 80%, interview 52%, open to work; tier-2 institution; India (Noida, Uttar Pradesh)"
CAND_0078669,43,0.932285,"9/15 AI-core skills; AI-relevant title (ML Engineer); 6.3 yrs YOE; response rate 49%, interview 71%, open to work; tier-2 institution; India (Kochi, Kerala)"
CAND_0058575,44,0.930959,"9/12 AI-core skills; AI-relevant title (AI Engineer); 5.8 yrs YOE; response rate 69%, interview 68%, open to work; tier-2 institution; India (Chennai, Tamil Nadu)"
CAND_0044855,45,0.930847,"15/17 AI-core skills; AI-relevant title (Senior Data Scientist); 6.6 yrs YOE; response rate 57%, interview 90%; tier-2 institution; India (Coimbatore, Tamil Nadu)"
CAND_0059017,46,0.930816,"9/14 AI-core skills; AI-relevant title (AI Research Engineer); 6.8 yrs YOE; response rate 75%, interview 62%, open to work; tier-1 institution; India (Ahmedabad, Gujarat)"
CAND_0049896,47,0.930409,"10/16 AI-core skills; AI-relevant title (Search Engineer); 7.3 yrs YOE; response rate 43%, interview 68%, open to work; India (Vizag, Andhra Pradesh)"
CAND_0067643,48,0.930005,"8/15 AI-core skills; AI-relevant title (AI Research Engineer); 6.0 yrs YOE; response rate 49%, interview 59%; tier-1 institution; India (Chennai, Tamil Nadu)"
CAND_0015578,49,0.929987,"12/18 AI-core skills; AI-relevant title (AI Engineer); 5.4 yrs YOE; response rate 65%, interview 71%, open to work; tier-1 institution; India (Delhi, Delhi)"
CAND_0012837,50,0.929935,"7/10 AI-core skills; AI-relevant title (Junior ML Engineer); 6.4 yrs YOE; response rate 81%, interview 52%, open to work; tier-2 institution; India (Chandigarh, Chandigarh)"
CAND_0078002,51,0.929691,"11/16 AI-core skills; AI-relevant title (Machine Learning Engineer); keyword stuffing risk (11 AI skills, 0 backed); 6.3 yrs YOE; response rate 86%, interview 86%, open to work; tier-1 institution; India (Coimbatore, Tamil Nadu)"
CAND_0037566,52,0.929527,"12/17 AI-core skills; AI-relevant title (Machine Learning Engineer); 6.9 yrs YOE; response rate 50%, interview 84%, open to work; tier-2 institution; India (Bangalore, Karnataka)"
CAND_0091254,53,0.929378,"12/18 AI-core skills; AI-relevant title (AI Research Engineer); 5.2 yrs YOE; response rate 53%, interview 71%, open to work; tier-1 institution; India (Chandigarh, Chandigarh)"
CAND_0004972,54,0.929344,"10/16 AI-core skills; AI-relevant title (ML Engineer); 6.0 yrs YOE; response rate 74%, interview 76%; tier-1 institution; India (Gurgaon, Haryana)"
CAND_0051292,55,0.929299,"10/14 AI-core skills; AI-relevant title (Applied ML Engineer); 5.2 yrs YOE; response rate 52%, interview 56%, open to work; tier-2 institution; India (Trivandrum, Kerala)"
CAND_0053527,56,0.929292,"7/9 AI-core skills; AI-relevant title (Junior ML Engineer); 7.0 yrs YOE; response rate 81%, interview 79%, open to work; India (Bangalore, Karnataka)"
CAND_0005260,57,0.929051,"13/18 AI-core skills; AI-relevant title (Senior NLP Engineer); 5.2 yrs YOE; response rate 86%, interview 73%; tier-1 institution; India (Chennai, Tamil Nadu)"
CAND_0006418,58,0.928822,"11/16 AI-core skills; AI-relevant title (Machine Learning Engineer); 5.7 yrs YOE; response rate 92%, interview 89%, open to work; tier-1 institution; India (Gurgaon, Haryana)"
CAND_0081563,59,0.928617,"9/13 AI-core skills; AI-relevant title (ML Engineer); 6.9 yrs YOE; response rate 59%, interview 52%, open to work; tier-1 institution; India (Kochi, Kerala)"
CAND_0057563,60,0.928296,"10/14 AI-core skills; AI-relevant title (NLP Engineer); 6.8 yrs YOE; response rate 83%, interview 81%; tier-1 institution; India (Indore, Madhya Pradesh)"
CAND_0010603,61,0.928203,"10/15 AI-core skills; AI-relevant title (ML Engineer); 5.3 yrs YOE; response rate 94%, interview 64%, open to work; tier-2 institution; India (Bangalore, Karnataka)"
CAND_0064888,62,0.928098,"9/13 AI-core skills; AI-relevant title (ML Engineer); 5.8 yrs YOE; response rate 92%, interview 53%, open to work; tier-1 institution; India (Vizag, Andhra Pradesh)"
CAND_0090300,63,0.927992,"10/14 AI-core skills; AI-relevant title (AI Research Engineer); 5.3 yrs YOE; response rate 94%, interview 72%, open to work; tier-2 institution; USA"
CAND_0054100,64,0.927827,"12/18 AI-core skills; AI-relevant title (Junior ML Engineer); 6.0 yrs YOE; response rate 79%, interview 60%, open to work; tier-2 institution; India (Kolkata, West Bengal)"
CAND_0070485,65,0.927007,"8/13 AI-core skills; AI-relevant title (Search Engineer); 6.4 yrs YOE; response rate 45%, interview 71%, open to work; tier-1 institution; India (Coimbatore, Tamil Nadu)"
CAND_0091909,66,0.926632,"10/14 AI-core skills; AI-relevant title (Machine Learning Engineer); 6.9 yrs YOE; response rate 65%, interview 66%, open to work; tier-1 institution; India (Bangalore, Karnataka)"
CAND_0072688,67,0.926110,"13/16 AI-core skills; AI-relevant title (Data Scientist); 6.9 yrs YOE; response rate 87%, interview 85%, open to work; India (Pune, Maharashtra)"
CAND_0065195,68,0.925790,"8/13 AI-core skills; AI-relevant title (Search Engineer); 5.1 yrs YOE; response rate 80%, interview 91%, open to work; tier-1 institution; India (Kolkata, West Bengal)"
CAND_0060054,69,0.925476,"9/10 AI-core skills; AI-relevant title (AI Engineer); 6.4 yrs YOE; response rate 86%, interview 78%; tier-2 institution; India (Jaipur, Rajasthan)"
CAND_0026942,70,0.925394,"12/18 AI-core skills; AI-relevant title (Junior ML Engineer); 6.0 yrs YOE; response rate 84%, interview 60%, open to work; tier-2 institution; India (Chandigarh, Chandigarh)"
CAND_0010541,71,0.925351,"10/16 AI-core skills; AI-relevant title (AI Research Engineer); 6.2 yrs YOE; response rate 59%, interview 87%, open to work; tier-2 institution; India (Hyderabad, Telangana)"
CAND_0010685,72,0.925134,"12/16 AI-core skills; AI-relevant title (NLP Engineer); 6.7 yrs YOE; response rate 83%, interview 89%, open to work; India (Kolkata, West Bengal)"
CAND_0059557,73,0.924927,"11/16 AI-core skills; 6.5 yrs YOE; response rate 81%, interview 62%, open to work; tier-1 institution; India (Coimbatore, Tamil Nadu)"
CAND_0025640,74,0.924719,"10/14 AI-core skills; AI-relevant title (AI Research Engineer); 5.6 yrs YOE; response rate 87%, interview 98%, open to work; tier-1 institution; India (Jaipur, Rajasthan)"
CAND_0011687,75,0.924211,"13/13 AI-core skills; AI-relevant title (Senior NLP Engineer); keyword stuffing risk (13 AI skills, 0 backed); 7.8 yrs YOE; response rate 89%, interview 77%, open to work; tier-1 institution; India (Indore, Madhya Pradesh)"
CAND_0097176,76,0.923384,"6/11 AI-core skills; AI-relevant title (ML Engineer); 5.9 yrs YOE; response rate 76%, interview 87%, open to work; tier-2 institution; India (Gurgaon, Haryana)"
CAND_0081686,77,0.923319,"10/18 AI-core skills; AI-relevant title (Search Engineer); 6.0 yrs YOE; response rate 91%, interview 86%; tier-1 institution; USA"
CAND_0064904,78,0.923152,"10/16 AI-core skills; AI-relevant title (AI Engineer); 4.9 yrs YOE; response rate 78%, interview 85%, open to work; tier-2 institution; India (Hyderabad, Telangana)"
CAND_0093912,79,0.922998,"7/13 AI-core skills; AI-relevant title (Senior Data Scientist); 5.3 yrs YOE; response rate 66%, interview 96%, open to work; tier-2 institution; India (Chandigarh, Chandigarh)"
CAND_0027691,80,0.922818,"14/17 AI-core skills; AI-relevant title (NLP Engineer); 6.5 yrs YOE; response rate 68%, interview 63%, open to work; tier-2 institution; India (Pune, Maharashtra)"
CAND_0092255,81,0.922693,"12/16 AI-core skills; AI-relevant title (ML Engineer); 5.2 yrs YOE; response rate 38%, interview 73%, open to work; tier-1 institution; India (Noida, Uttar Pradesh)"
CAND_0043860,82,0.922544,"8/14 AI-core skills; AI-relevant title (Junior ML Engineer); 6.1 yrs YOE; response rate 81%, interview 94%, open to work; tier-2 institution; India (Bhubaneswar, Odisha)"
CAND_0043384,83,0.921997,"5/9 AI-core skills; 5.2 yrs YOE; response rate 83%, interview 65%, open to work; tier-2 institution; India (Chennai, Tamil Nadu)"
CAND_0017178,84,0.921902,"10/16 AI-core skills; AI-relevant title (ML Engineer); 4.2 yrs YOE; response rate 85%, interview 97%; tier-1 institution; India (Hyderabad, Telangana)"
CAND_0016163,85,0.921815,"12/17 AI-core skills; AI-relevant title (Applied ML Engineer); 6.7 yrs YOE; response rate 72%, interview 62%, open to work; tier-2 institution; India (Gurgaon, Haryana)"
CAND_0032216,86,0.921741,"9/14 AI-core skills; AI-relevant title (ML Engineer); 6.1 yrs YOE; response rate 35%, interview 51%, open to work; tier-1 institution; India (Chennai, Tamil Nadu)"
CAND_0065878,87,0.921721,"11/15 AI-core skills; AI-relevant title (Senior Data Scientist); 7.8 yrs YOE; response rate 48%, interview 61%, open to work; tier-2 institution; India (Trivandrum, Kerala)"
CAND_0072660,88,0.921605,"11/18 AI-core skills; AI-relevant title (Machine Learning Engineer); 7.1 yrs YOE; response rate 53%, interview 88%, open to work; tier-1 institution; Germany"
CAND_0081053,89,0.921223,"12/17 AI-core skills; AI-relevant title (NLP Engineer); 5.4 yrs YOE; response rate 83%, interview 79%, open to work; tier-1 institution; India (Chandigarh, Chandigarh)"
CAND_0009691,90,0.921202,"15/19 AI-core skills; AI-relevant title (Applied ML Engineer); 6.2 yrs YOE; response rate 64%, interview 57%, open to work; tier-2 institution; India (Indore, Madhya Pradesh)"
CAND_0043958,91,0.921192,"6/11 AI-core skills; AI-relevant title (AI Research Engineer); 6.7 yrs YOE; response rate 67%, interview 55%; tier-1 institution; India (Bhubaneswar, Odisha)"
CAND_0029367,92,0.920974,"13/17 AI-core skills; AI-relevant title (Senior Data Scientist); 5.7 yrs YOE; response rate 77%, interview 58%, open to work; tier-2 institution; India (Bangalore, Karnataka)"
CAND_0087264,93,0.920177,"9/15 AI-core skills; AI-relevant title (Junior ML Engineer); 4.0 yrs YOE; response rate 79%, interview 60%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0088385,94,0.919642,"14/19 AI-core skills; 7.0 yrs YOE; response rate 57%, interview 71%, open to work; India (Bangalore, Karnataka)"
CAND_0068932,95,0.919623,"7/12 AI-core skills; AI-relevant title (ML Engineer); 5.2 yrs YOE; response rate 82%, interview 64%, open to work; India (Noida, Uttar Pradesh)"
CAND_0019288,96,0.919567,"9/13 AI-core skills; AI-relevant title (AI Research Engineer); 5.7 yrs YOE; response rate 38%, interview 63%, open to work; tier-2 institution; India (Noida, Uttar Pradesh)"
CAND_0052431,97,0.919360,"9/12 AI-core skills; AI-relevant title (ML Engineer); 5.3 yrs YOE; response rate 85%, interview 89%; tier-1 institution; India (Ahmedabad, Gujarat)"
CAND_0088025,98,0.919331,"11/19 AI-core skills; AI-relevant title (Staff Machine Learning Engineer); 8.6 yrs YOE; response rate 83%, interview 95%, open to work; tier-2 institution; India (Jaipur, Rajasthan)"
CAND_0081852,99,0.919211,"10/14 AI-core skills; AI-relevant title (Senior Data Scientist); 5.9 yrs YOE; response rate 44%, interview 77%, open to work; tier-2 institution; India (Delhi, Delhi)"
CAND_0083879,100,0.918952,"8/10 AI-core skills; AI-relevant title (Machine Learning Engineer); 7.1 yrs YOE; response rate 47%, interview 83%, open to work; tier-1 institution; India (Noida, Uttar Pradesh)"
